Last Name,First Name,Preferred Name,Preferred Pronoun,SF ID #,Program Code,Phone,Email
BAILEY,JAVARI,JAVARI,,1001-1061,3841,361-1234-5739,JAVARI.BAILEY@go.sfcollege.edu
BAKER,ROBERT,ROBERT,,1001-1062,3840,361-1234-5740,ROBERT.BAKER@go.sfcollege.edu
BAKER,ROBERT,ROBERT,,1001-1063,3842,361-1234-5741,ROBERT.BAKER@go.sfcollege.edu
BAKER,CHEVY,CHEVY,,1001-1064,6651,361-1234-5742,CHEVY.BAKER@go.sfcollege.edu
BAKER,LOUIS,LOUIS,,1001-1065,6652,361-1234-5743,LOUIS.BAKER@go.sfcollege.edu
BALDINELLI,DANIEL,DANIEL,,1001-1066,6650,361-1234-5744,DANIEL.BALDINELLI@go.sfcollege.edu
BALLARD,EUGENE,EUGENE,,1001-1067,3651,361-1234-5745,EUGENE.BALLARD@go.sfcollege.edu
BANKS,BRIAN,BRIAN,,1001-1068,3650,361-1234-5746,BRIAN.BANKS@go.sfcollege.edu
BANKS,GREGORY,GREGORY,,1001-1069,3624,361-1234-5747,GREGORY.BANKS@go.sfcollege.edu
BANKS,JOHN,JOHN,,1001-1070,6652,361-1234-5748,JOHN.BANKS@go.sfcollege.edu
BANTON,RAYMOND,RAYMOND,,1001-1071,6651,361-1234-5749,RAYMOND.BANTON@go.sfcollege.edu
BAPTISTE,JESSIE,JESSIE,,1001-1072,6650,361-1234-5750,JESSIE.BAPTISTE@go.sfcollege.edu
BARRETT,TREVIS,TREVIS,,1001-1073,6645,361-1234-5751,TREVIS.BARRETT@go.sfcollege.edu
BARTON,JONATHAN,JONATHAN,,1001-1074,6635,361-1234-5752,JONATHAN.BARTON@go.sfcollege.edu
BASS,DANA,DANA,,1001-1075,6625,361-1234-5753,DANA.BASS@go.sfcollege.edu
BASS,DEMETRIUS,DEMETRIUS,,1001-1076,6623,361-1234-5754,DEMETRIUS.BASS@go.sfcollege.edu
BATIE,STEVEN,STEVEN,,1001-1077,3842,361-1234-5755,STEVEN.BATIE@go.sfcollege.edu
BATIE,WILLIAM,WILL,,1001-1078,3841,361-1234-5756,WILLIAM.BATIE@go.sfcollege.edu
BAY,JAMES,JAMES,,1001-1079,3840,361-1234-5757,JAMES.BAY@go.sfcollege.edu
BEARD,DELONTE,DELONTE,,1001-1080,3651,361-1234-5758,DELONTE.BEARD@go.sfcollege.edu
BEASLEY,RAYON,RAYON,,1001-1081,3650,361-1234-5759,RAYON.BEASLEY@go.sfcollege.edu
BELFORD,RONALD,RONALD,,1001-1082,3624,361-1234-5760,RONALD.BELFORD@go.sfcollege.edu
BELL,QUENTIN,QUENTIN,,1001-1083,3520,361-1234-5761,QUENTIN.BELL@go.sfcollege.edu
BELL,ZABRIEL,ZABRIEL,,1001-1084,3504,361-1234-5762,ZABRIEL.BELL@go.sfcollege.edu
BENNETT,KRISTEN,KRISTEN,,1001-1085,3330,361-1234-5763,KRISTEN.BENNETT@go.sfcollege.edu
BERNIER,HOWARD,HOWARD,,1001-1086,1119,361-1234-5764,HOWARD.BERNIER@go.sfcollege.edu
BERRIEN,CORTAEVIOUS,CORTAEVIOUS,,1001-1087,1030,361-1234-5765,CORTAEVIOUS.BERRIEN@go.sfcollege.edu
BERRY,MARK,MARK,,1001-1088,1002,361-1234-5766,MARK.BERRY@go.sfcollege.edu
BEVERIDGE,KELVIN,KELVIN,,1001-1089,3624,361-1234-5767,KELVIN.BEVERIDGE@go.sfcollege.edu
BIGLOW,CORNELIUS,CORNELIUS,,1001-1090,3650,361-1234-5768,CORNELIUS.BIGLOW@go.sfcollege.edu
BING,FRANK,FRANK,,1001-1091,3651,361-1234-5769,FRANK.BING@go.sfcollege.edu
BINGER,ANTONETT,ANTONETT,,1001-1092,6650,361-1234-5770,ANTONETT.BINGER@go.sfcollege.edu
BISHOP,ALEXANDER,ALEXANDER,,1001-1093,6652,361-1234-5771,ALEXANDER.BISHOP@go.sfcollege.edu
BLACK,REMY,REMY,,1001-1094,6651,361-1234-5772,REMY.BLACK@go.sfcollege.edu
BLACK,RAMON,RAMON,,1001-1095,3842,361-1234-5773,RAMON.BLACK@go.sfcollege.edu
BLAKE,RAYMOND,RAY,,1001-1096,3840,361-1234-5774,RAYMOND.BLAKE@go.sfcollege.edu
BLANK,ALEXANDER,ALEX,,1001-1097,3841,361-1234-5775,ALEXANDER.BLANK@go.sfcollege.edu
BODLEN,NICHOLAS,NICK,,1001-1098,6623,361-1234-5776,NICHOLAS.BODLEN@go.sfcollege.edu
BOLEN,ANTONIO,ANTONIO,,1001-1099,6645,361-1234-5777,ANTONIO.BOLEN@go.sfcollege.edu
BOLTON,FLYNN,FLYNN,,1001-1100,3330,361-1234-5778,FLYNN.BOLTON@go.sfcollege.edu
BOONE,MARIKA,MARY,,1001-1101,3520,361-1234-5779,MARIKA.BOONE@go.sfcollege.edu
BOOTH,JAROD,JAROD,,1001-1102,1119,361-1234-5780,JAROD.BOOTH@go.sfcollege.edu
BOWERS,MELVIN,MELVIN,,1001-1103,1002,361-1234-5781,MELVIN.BOWERS@go.sfcollege.edu
BOWERS,WELDON,WELDON,,1001-1104,6635,361-1234-5782,WELDON.BOWERS@go.sfcollege.edu
BRADLEY,JUSTIN,JUSTIN,,1001-1105,6625,361-1234-5783,JUSTIN.BRADLEY@go.sfcollege.edu
BRAMLETT,JEREMY,JEREMY,,1001-1106,3504,361-1234-5784,JEREMY.BRAMLETT@go.sfcollege.edu
BRANDT,ANTHONY,ANTHONY,,1001-1107,1030,361-1234-5785,ANTHONY.BRANDT@go.sfcollege.edu
BRANHAM,BRIAN,BRIAN,,1001-1108,1002,361-1234-5786,BRIAN.BRANHAM@go.sfcollege.edu
BRANHAM,ERIC,ERIC,,1001-1109,1030,361-1234-5787,ERIC.BRANHAM@go.sfcollege.edu
BRANTON,HORATIO,HORATIO,,1001-1110,3504,361-1234-5788,HORATIO.BRANTON@go.sfcollege.edu
BRASBY,JARED,JARED,,1001-1111,3840,361-1234-5789,JARED.BRASBY@go.sfcollege.edu
BREEDLOVE,JOANNE,JOANNE,,1001-1112,3841,361-1234-5790,JOANNE.BREEDLOVE@go.sfcollege.edu
BRENNEN,CHRISTOPHER,CHRIS,,1001-1113,3842,361-1234-5791,CHRISTOPHER.BRENNEN@go.sfcollege.edu
BRINKMOELLER,DONALD,DONALD,,1001-1114,3650,361-1234-5792,DONALD.BRINKMOELLER@go.sfcollege.edu
BROCKMAN,LUCIEN,LUCIEN,,1001-1115,3651,361-1234-5793,LUCIEN.BROCKMAN@go.sfcollege.edu
BROILES,JULIUS,JULIUS,,1001-1116,1119,361-1234-5794,JULIUS.BROILES@go.sfcollege.edu
BROOKES,DARIUS,DARIUS,,1001-1117,6625,361-1234-5795,DARIUS.BROOKES@go.sfcollege.edu
BROOKS,CHRISTIAN,CHRISTIAN,,1001-1118,6635,361-1234-5796,CHRISTIAN.BROOKS@go.sfcollege.edu
BROOKS,XZAVION,XZAVION,,1001-1119,6645,361-1234-5797,XZAVION.BROOKS@go.sfcollege.edu
